Date,Open,High,Low,Close,Adj Close,Volume
2002-05-28,13.070000,13.070000,13.070000,13.070000,9.362670,0
2002-05-29,13.040000,13.040000,13.040000,13.040000,9.341181,0
2002-05-30,12.990000,12.990000,12.990000,12.990000,9.305364,0
2002-05-31,13.030000,13.030000,13.030000,13.030000,9.366466,0
2002-06-03,12.930000,12.930000,12.930000,12.930000,9.294581,0
2002-06-04,12.850000,12.850000,12.850000,12.850000,9.237074,0
2002-06-05,12.820000,12.820000,12.820000,12.820000,9.215509,0
2002-06-06,12.800000,12.800000,12.800000,12.800000,9.201131,0
2002-06-07,12.800000,12.800000,12.800000,12.800000,9.201131,0
2002-06-10,12.790000,12.790000,12.790000,12.790000,9.193944,0
2002-06-11,12.710000,12.710000,12.710000,12.710000,9.136436,0
2002-06-12,12.650000,12.650000,12.650000,12.650000,9.093307,0
2002-06-13,12.550000,12.550000,12.550000,12.550000,9.021421,0
2002-06-14,12.380000,12.380000,12.380000,12.380000,8.899220,0
2002-06-17,12.480000,12.480000,12.480000,12.480000,8.971103,0
2002-06-18,12.540000,12.540000,12.540000,12.540000,9.014232,0
2002-06-19,12.420000,12.420000,12.420000,12.420000,8.927973,0
2002-06-20,12.370000,12.370000,12.370000,12.370000,8.892032,0
2002-06-21,12.330000,12.330000,12.330000,12.330000,8.863276,0
2002-06-24,12.250000,12.250000,12.250000,12.250000,8.805772,0
2002-06-25,12.210000,12.210000,12.210000,12.210000,8.777016,0
2002-06-26,12.050000,12.050000,12.050000,12.050000,8.662001,0
2002-06-27,12.150000,12.150000,12.150000,12.150000,8.733888,0
2002-06-28,12.320000,12.320000,12.320000,12.320000,8.856089,0
2002-07-01,12.260000,12.260000,12.260000,12.260000,8.812961,0
2002-07-02,12.040000,12.040000,12.040000,12.040000,8.654816,0
2002-07-03,11.910000,11.910000,11.910000,11.910000,8.561365,0
2002-07-05,12.190000,12.190000,12.190000,12.190000,8.762638,0
2002-07-08,12.200000,12.200000,12.200000,12.200000,8.769829,0
2002-07-09,12.170000,12.170000,12.170000,12.170000,8.748263,0
2002-07-10,11.930000,11.930000,11.930000,11.930000,8.575742,0
2002-07-11,11.760000,11.760000,11.760000,11.760000,8.453540,0
2002-07-12,11.760000,11.760000,11.760000,11.760000,8.453540,0
2002-07-15,11.650000,11.650000,11.650000,11.650000,8.374469,0
2002-07-16,11.520000,11.520000,11.520000,11.520000,8.281019,0
2002-07-17,11.530000,11.530000,11.530000,11.530000,8.288205,0
2002-07-18,11.520000,11.520000,11.520000,11.520000,8.281019,0
2002-07-19,11.290000,11.290000,11.290000,11.290000,8.115685,0
2002-07-22,10.960000,10.960000,10.960000,10.960000,7.878467,0
2002-07-23,10.670000,10.670000,10.670000,10.670000,7.670007,0
2002-07-24,10.890000,10.890000,10.890000,10.890000,7.828149,0
2002-07-25,10.780000,10.780000,10.780000,10.780000,7.749078,0
2002-07-26,10.660000,10.660000,10.660000,10.660000,7.662817,0
2002-07-29,11.110000,11.110000,11.110000,11.110000,7.986295,0
2002-07-30,11.100000,11.100000,11.100000,11.100000,7.979104,0
2002-07-31,11.080000,11.080000,11.080000,11.080000,7.964730,0
2002-08-01,10.920000,10.920000,10.920000,10.920000,7.849716,0
2002-08-02,10.770000,10.770000,10.770000,10.770000,7.741889,0
2002-08-05,10.540000,10.540000,10.540000,10.540000,7.576556,0
2002-08-06,10.550000,10.550000,10.550000,10.550000,7.583745,0
2002-08-07,10.700000,10.700000,10.700000,10.700000,7.691570,0
2002-08-08,10.940000,10.940000,10.940000,10.940000,7.864093,0
2002-08-09,10.890000,10.890000,10.890000,10.890000,7.828149,0
2002-08-12,10.780000,10.780000,10.780000,10.780000,7.749078,0
2002-08-13,10.710000,10.710000,10.710000,10.710000,7.698760,0
2002-08-14,10.930000,10.930000,10.930000,10.930000,7.856904,0
2002-08-15,10.960000,10.960000,10.960000,10.960000,7.878467,0
2002-08-16,11.010000,11.010000,11.010000,11.010000,7.914411,0
2002-08-19,11.120000,11.120000,11.120000,11.120000,7.993484,0
2002-08-20,11.100000,11.100000,11.100000,11.100000,7.979104,0
2002-08-21,11.230000,11.230000,11.230000,11.230000,8.072556,0
2002-08-22,11.370000,11.370000,11.370000,11.370000,8.173192,0
2002-08-23,11.240000,11.240000,11.240000,11.240000,8.079744,0
2002-08-26,11.310000,11.310000,11.310000,11.310000,8.130062,0
2002-08-27,11.330000,11.330000,11.330000,11.330000,8.144440,0
2002-08-28,11.160000,11.160000,11.160000,11.160000,8.022239,0
2002-08-29,11.110000,11.110000,11.110000,11.110000,7.986295,0
2002-08-30,11.120000,11.120000,11.120000,11.120000,7.993484,0
2002-09-03,10.840000,10.840000,10.840000,10.840000,7.792208,0
2002-09-04,10.900000,10.900000,10.900000,10.900000,7.835339,0
2002-09-05,10.770000,10.770000,10.770000,10.770000,7.741889,0
2002-09-06,10.890000,10.890000,10.890000,10.890000,7.828149,0
2002-09-09,10.910000,10.910000,10.910000,10.910000,7.842526,0
2002-09-10,10.990000,10.990000,10.990000,10.990000,7.900036,0
2002-09-11,11.060000,11.060000,11.060000,11.060000,7.950354,0
